KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.umwelt_naturschutz.134.0.geotopinventar_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.312.0.gep_zustandsbericht_versickerung_modell_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.991.0.gewaesser_hochwasserschutz_und_revitalisierungsprojekte_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.43.0.gewaessernetz_1200000_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.1657.0.gewaesserraeume_kt_ai: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.1484.0.gewaesser_rechtszustand_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.1074.0.gewaesser_rechtszustand_kt_sg: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.30.0.gewaesserschutzkarte_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.2217.0.gewaesser_wasserbau_kt_sg: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.politische_und_administrative_grenzen.881.0.grenzen_bezirke_und_feuerschaugemeinde_kt_ai: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.politische_und_administrative_grenzen.1620.0.grenzen_katholische_kirchgemeinden_kt_ai: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.politische_und_administrative_grenzen.861.0.grenzen_schulgemeinden_kt_ai: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.120.0.grundstuecksgrenzen_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.47.0.grundwasserinventar_kt_sg: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.32.0.grundwasserkarte_kt: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.landwirtschaft.177.0.hanglagen_ch: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.verkehr.1506.0.hauptstrassennetz_ch: sequence item 0: expected str instance, NoneType found
KT_AI https://www.geoportal.ch/services/wms/ktai?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.924.0.hoehenfixpunkte_gde: sequence item 0: expected str instance, NoneType found
