Timestamp,Operator,URL,Issue
2025-08-24T06:53:24.448585+02:00,KT_SO,ch.so.afu.erdwaerme.sonde,"cannot convert float infinity to integer"
2025-08-24T06:53:30.490440+02:00,KT_SO,ch.so.afu.erdwaerme.sonde,"cannot convert float infinity to integer"
2025-08-24T06:53:30.503165+02:00,KT_SO,ch.so.afu.wasserbewirtschaftung,"cannot convert float infinity to integer"
