KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.geologie_boden_naturbedingte_risiken.1521.0.erosionsrisiko_acker_quantitativ_ch: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.273.0.eschmann_karte: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ver_entsorgung_kommunikation.204.0.fernwaerme_werkplan_gde: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.militaer_sicherheit.1622.0.feuerloeschweiher_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.militaer_sicherheit.518.0.feuerwehrplan_gde: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ver_entsorgung_kommunikation.359.0.gas_werkplan_gde: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ortsangaben_referenzsysteme.26.0.gebaeudeadressen_geocodiert_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ortsangaben_referenzsysteme.1052.0.gebaeude_und_wohnungsregister_ch: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.geologie_boden_naturbedingte_risiken.1286.0.gefaehrdungskarte_oberflaechenabfluss_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.geologie_boden_naturbedingte_risiken.296.0.geologischer_atlas_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.geologie_boden_naturbedingte_risiken.229.0.geotechnische_karte_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.umwelt_naturschutz.134.0.geotopinventar_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.778.0.gep_versickerungsanlagenkataster_modell_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.312.0.gep_zustandsbericht_versickerung_modell_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.991.0.gewaesser_hochwasserschutz_und_revitalisierungsprojekte_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.43.0.gewaessernetz_1200000_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.74.0.gewaesserraum_ar_festgelegt_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.1484.0.gewaesser_rechtszustand_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.1074.0.gewaesser_rechtszustand_kt_sg: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.30.0.gewaesserschutzkarte_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.2217.0.gewaesser_wasserbau_kt_sg: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.120.0.grundstuecksgrenzen_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.32.0.grundwasserkarte_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.landwirtschaft.177.0.hanglagen_ch: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.verkehr.1506.0.hauptstrassennetz_ch: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.924.0.hoehenfixpunkte_gde: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.hoehen.124.0.hoehenkurven_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ver_entsorgung_kommunikation.666.0.hydrantenplan_gde: sequence item 0: expected str instance, NoneType found
