DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2023-12-17,KT_AI,207,16,191,7.7%,207,0,100.0%,0,207,0%,207,0,100.0%,69.2%
2023-12-17,KT_AR,230,25,205,10.9%,230,0,100.0%,0,230,0%,230,0,100.0%,70.3%
2023-12-17,KT_AG,897,897,0,100.0%,897,0,100.0%,0,897,0%,0,897,0%,100.0%
2023-12-17,KT_BL,1292,0,1292,0%,183,1109,14.2%,7,1285,0.5%,0,1292,0%,7.4%
2023-12-17,KT_BS,2758,0,2758,0%,16,2742,0.6%,986,1772,35.8%,2204,554,79.9%,38.7%
2023-12-17,KT_BE,1027,0,1027,0%,1001,26,97.5%,926,101,90.2%,75,952,7.3%,65.0%
2023-12-17,KT_GE,333,0,333,0%,330,3,99.1%,0,333,0%,0,333,0%,99.1%
2023-12-17,KT_GL,444,0,444,0%,0,444,0%,185,259,41.7%,0,444,0%,41.7%
2023-12-17,KT_GR,1928,1,1927,0.1%,312,1616,16.2%,0,1928,0%,1486,442,77.1%,31.1%
2023-12-17,KT_JU,1138,0,1138,0%,153,985,13.4%,35,1103,3.1%,950,188,83.5%,33.3%
2023-12-17,KT_SG,646,0,646,0%,445,201,68.9%,131,515,20.3%,13,633,2.0%,30.4%
2023-12-17,KT_SH,189,175,14,92.6%,176,13,93.1%,0,189,0%,171,18,90.5%,92.1%
2023-12-17,KT_SO,645,0,645,0%,0,645,0%,183,462,28.4%,0,645,0%,28.4%
2023-12-17,KT_SZ,2222,0,2222,0%,2086,136,93.9%,10,2212,0.5%,2126,96,95.7%,63.3%
2023-12-17,KT_TG,1107,97,1010,8.8%,184,923,16.6%,335,772,30.3%,923,184,83.4%,34.8%
2023-12-17,KT_TI,1326,0,1326,0%,1316,10,99.2%,9,1317,0.7%,9,1317,0.7%,33.5%
2023-12-17,KT_UR,516,212,304,41.1%,359,157,69.6%,214,302,41.5%,0,516,0%,50.7%
2023-12-17,KT_ZG,819,56,763,6.8%,88,731,10.7%,0,819,0%,22,797,2.7%,6.8%
2023-12-17,KT_ZH,1972,88,1884,4.5%,519,1453,26.3%,642,1330,32.6%,1865,107,94.6%,39.5%
2023-12-17,KT_VD,352,0,352,0%,172,180,48.9%,352,0,100.0%,0,352,0%,74.4%
2023-12-17,KT_FR,691,0,691,0%,219,472,31.7%,0,691,0%,0,691,0%,31.7%
2023-12-17,FL_LI,92,59,33,64.1%,84,8,91.3%,0,92,0%,91,1,98.9%,84.8%
2023-12-17,Geodienste,656,26,630,4.0%,557,99,84.9%,0,656,0%,530,126,80.8%,56.6%
2023-12-17,Bund,1380,752,628,54.5%,1380,0,100.0%,607,773,44.0%,1374,6,99.6%,74.5%
