DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2024-11-03,KT_AI,216,17,199,7.9%,216,0,100.0%,0,216,0%,216,0,100.0%,69.3%
2024-11-03,KT_AR,244,27,217,11.1%,244,0,100.0%,0,244,0%,244,0,100.0%,70.4%
2024-11-03,KT_AG,899,899,0,100.0%,899,0,100.0%,0,899,0%,0,899,0%,100.0%
2024-11-03,KT_BL,1373,0,1373,0%,196,1177,14.3%,7,1366,0.5%,0,1373,0%,7.4%
2024-11-03,KT_BS,2255,0,2255,0%,12,2243,0.5%,1022,1233,45.3%,1828,427,81.1%,42.3%
2024-11-03,KT_BE,1398,0,1398,0%,1355,43,96.9%,1293,105,92.5%,78,1320,5.6%,65.0%
2024-11-03,KT_GL,443,0,443,0%,0,443,0%,183,260,41.3%,0,443,0%,41.3%
2024-11-03,KT_GR,1958,1,1957,0.1%,317,1641,16.2%,0,1958,0%,1511,447,77.2%,31.1%
2024-11-03,KT_JU,1165,0,1165,0%,151,1014,13.0%,38,1127,3.3%,976,189,83.8%,33.3%
2024-11-03,KT_SG,681,0,681,0%,449,232,65.9%,135,546,19.8%,13,668,1.9%,29.2%
2024-11-03,KT_SH,209,187,22,89.5%,183,26,87.6%,0,209,0%,188,21,90.0%,89.0%
2024-11-03,KT_SO,686,0,686,0%,0,686,0%,179,507,26.1%,0,686,0%,26.1%
2024-11-03,KT_SZ,1933,0,1933,0%,1852,81,95.8%,10,1923,0.5%,1887,46,97.6%,64.6%
2024-11-03,KT_TG,1043,93,950,8.9%,177,866,17.0%,311,732,29.8%,866,177,83.0%,34.7%
2024-11-03,KT_TI,1411,0,1411,0%,1405,6,99.6%,6,1405,0.4%,6,1405,0.4%,33.5%
2024-11-03,KT_UR,824,358,466,43.4%,301,523,36.5%,360,464,43.7%,0,824,0%,41.2%
2024-11-03,KT_ZH,1937,85,1852,4.4%,523,1414,27.0%,648,1289,33.5%,1830,107,94.5%,39.8%
2024-11-03,KT_VD,380,0,380,0%,186,194,48.9%,380,0,100.0%,0,380,0%,74.5%
2024-11-03,KT_FR,721,0,721,0%,248,473,34.4%,0,721,0%,0,721,0%,34.4%
2024-11-03,FL_LI,142,104,38,73.2%,140,2,98.6%,0,142,0%,141,1,99.3%,90.4%
2024-11-03,Geodienste,662,26,636,3.9%,559,103,84.4%,0,662,0%,532,130,80.4%,56.2%
2024-11-03,Bund,1459,786,673,53.9%,1459,0,100.0%,641,818,43.9%,1453,6,99.6%,74.3%
