DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2026-05-24,KT_AI,233,23,210,9.9%,233,0,100.0%,0,233,0%,233,0,100.0%,70.0%
2026-05-24,KT_AR,270,39,231,14.4%,270,0,100.0%,0,270,0%,270,0,100.0%,71.5%
2026-05-24,KT_AG,951,951,0,100.0%,951,0,100.0%,0,951,0%,0,951,0%,100.0%
2026-05-24,KT_BL,1459,0,1459,0%,213,1246,14.6%,7,1452,0.5%,0,1459,0%,7.5%
2026-05-24,KT_BS,2222,240,1982,10.8%,252,1970,11.3%,810,1412,36.5%,637,1585,28.7%,21.8%
2026-05-24,KT_BE,1465,0,1465,0%,1423,42,97.1%,1342,123,91.6%,91,1374,6.2%,65.0%
2026-05-24,KT_GL,460,0,460,0%,0,460,0%,193,267,42.0%,0,460,0%,42.0%
2026-05-24,KT_GR,2031,5,2026,0.2%,314,1717,15.5%,0,2031,0%,1584,447,78.0%,31.2%
2026-05-24,KT_JU,1623,0,1623,0%,185,1438,11.4%,41,1582,2.5%,1397,226,86.1%,33.3%
2026-05-24,KT_SG,636,0,636,0%,405,231,63.7%,132,504,20.8%,13,623,2.0%,28.8%
2026-05-24,KT_SH,235,210,25,89.4%,199,36,84.7%,0,235,0%,214,21,91.1%,88.4%
2026-05-24,KT_SO,770,0,770,0%,0,770,0%,0,770,0%,0,770,0%,0%
2026-05-24,KT_SZ,2274,0,2274,0%,2190,84,96.3%,1065,1209,46.8%,2223,51,97.8%,80.3%
2026-05-24,KT_TG,1032,93,939,9.0%,176,856,17.1%,312,720,30.2%,856,176,82.9%,34.8%
2026-05-24,KT_TI,1221,0,1221,0%,1215,6,99.5%,6,1215,0.5%,6,1215,0.5%,33.5%
2026-05-24,KT_UR,989,438,551,44.3%,353,636,35.7%,428,561,43.3%,0,989,0%,41.1%
2026-05-24,KT_ZH,1862,81,1781,4.4%,581,1281,31.2%,711,1151,38.2%,1757,105,94.4%,42.0%
2026-05-24,KT_VD,403,0,403,0%,192,211,47.6%,403,0,100.0%,0,403,0%,73.8%
2026-05-24,KT_FR,13,0,13,0%,13,0,100.0%,0,13,0%,0,13,0%,100.0%
2026-05-24,FL_LI,151,110,41,72.8%,148,3,98.0%,0,151,0%,149,2,98.7%,89.8%
2026-05-24,Geodienste,672,25,647,3.7%,561,111,83.5%,0,672,0%,537,135,79.9%,55.7%
2026-05-24,Bund,1558,846,712,54.3%,1558,0,100.0%,676,882,43.4%,1549,9,99.4%,74.3%
