DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2023-07-09,KT_AI,200,16,184,8.0%,200,0,100.0%,0,200,0%,200,0,100.0%,69.3%
2023-07-09,KT_AR,220,25,195,11.4%,220,0,100.0%,0,220,0%,220,0,100.0%,70.5%
2023-07-09,KT_AG,883,883,0,100.0%,883,0,100.0%,0,883,0%,0,883,0%,100.0%
2023-07-09,KT_BL,1276,0,1276,0%,182,1094,14.3%,0,1276,0%,0,1276,0%,14.3%
2023-07-09,KT_BE,982,0,982,0%,959,23,97.7%,894,88,91.0%,65,917,6.6%,65.1%
2023-07-09,KT_GE,348,0,348,0%,348,0,100.0%,0,348,0%,0,348,0%,100.0%
2023-07-09,KT_GL,442,0,442,0%,0,442,0%,184,258,41.6%,0,442,0%,41.6%
2023-07-09,KT_GR,1992,17,1975,0.9%,319,1673,16.0%,0,1992,0%,1543,449,77.5%,31.4%
2023-07-09,KT_JU,1111,0,1111,0%,147,964,13.2%,34,1077,3.1%,930,181,83.7%,33.3%
2023-07-09,KT_SG,646,0,646,0%,445,201,68.9%,131,515,20.3%,13,633,2.0%,30.4%
2023-07-09,KT_SH,188,175,13,93.1%,175,13,93.1%,0,188,0%,171,17,91.0%,92.4%
2023-07-09,KT_SO,633,1,632,0.2%,0,633,0%,177,456,28.0%,0,633,0%,14.1%
2023-07-09,KT_SZ,1406,0,1406,0%,1272,134,90.5%,10,1396,0.7%,1295,111,92.1%,61.1%
2023-07-09,KT_TG,1154,97,1057,8.4%,171,983,14.8%,360,794,31.2%,983,171,85.2%,34.9%
2023-07-09,KT_TI,1156,0,1156,0%,1149,7,99.4%,6,1150,0.5%,6,1150,0.5%,33.5%
2023-07-09,KT_UR,470,191,279,40.6%,316,154,67.2%,194,276,41.3%,0,470,0%,49.7%
2023-07-09,KT_ZG,943,56,887,5.9%,89,854,9.4%,0,943,0%,23,920,2.4%,5.9%
2023-07-09,KT_ZH,1946,89,1857,4.6%,511,1435,26.3%,632,1314,32.5%,1841,105,94.6%,39.5%
2023-07-09,KT_VD,287,0,287,0%,146,141,50.9%,287,0,100.0%,0,287,0%,75.4%
2023-07-09,KT_FR,707,0,707,0%,187,520,26.4%,0,707,0%,0,707,0%,26.4%
2023-07-09,FL_LI,90,58,32,64.4%,82,8,91.1%,0,90,0%,89,1,98.9%,84.8%
2023-07-09,Geodienste,652,26,626,4.0%,553,99,84.8%,0,652,0%,526,126,80.7%,56.5%
2023-07-09,Bund,1339,717,622,53.5%,1336,3,99.8%,602,737,45.0%,1335,4,99.7%,74.5%
