DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2023-09-03,KT_AI,200,16,184,8.0%,200,0,100.0%,0,200,0%,200,0,100.0%,69.3%
2023-09-03,KT_AR,221,25,196,11.3%,221,0,100.0%,0,221,0%,221,0,100.0%,70.4%
2023-09-03,KT_AG,874,874,0,100.0%,874,0,100.0%,0,874,0%,0,874,0%,100.0%
2023-09-03,KT_BL,1279,0,1279,0%,182,1097,14.2%,0,1279,0%,0,1279,0%,14.2%
2023-09-03,KT_BS,2552,0,2552,0%,16,2536,0.6%,875,1677,34.3%,2080,472,81.5%,38.8%
2023-09-03,KT_BE,997,0,997,0%,971,26,97.4%,899,98,90.2%,72,925,7.2%,64.9%
2023-09-03,KT_GE,312,0,312,0%,312,0,100.0%,0,312,0%,0,312,0%,100.0%
2023-09-03,KT_GL,442,0,442,0%,0,442,0%,184,258,41.6%,0,442,0%,41.6%
2023-09-03,KT_GR,1992,17,1975,0.9%,319,1673,16.0%,0,1992,0%,1543,449,77.5%,31.4%
2023-09-03,KT_JU,1116,0,1116,0%,148,968,13.3%,35,1081,3.1%,933,183,83.6%,33.3%
2023-09-03,KT_SG,646,0,646,0%,445,201,68.9%,131,515,20.3%,13,633,2.0%,30.4%
2023-09-03,KT_SH,183,170,13,92.9%,170,13,92.9%,0,183,0%,166,17,90.7%,92.2%
2023-09-03,KT_SO,639,0,639,0%,0,639,0%,180,459,28.2%,0,639,0%,28.2%
2023-09-03,KT_SZ,1367,0,1367,0%,1231,136,90.1%,10,1357,0.7%,1254,113,91.7%,60.8%
2023-09-03,KT_TG,1118,96,1022,8.6%,175,943,15.7%,345,773,30.9%,943,175,84.3%,34.9%
2023-09-03,KT_TI,1155,0,1155,0%,1148,7,99.4%,6,1149,0.5%,6,1149,0.5%,33.5%
2023-09-03,KT_UR,474,193,281,40.7%,318,156,67.1%,196,278,41.4%,0,474,0%,49.7%
2023-09-03,KT_ZG,940,56,884,6.0%,89,851,9.5%,0,940,0%,23,917,2.4%,6.0%
2023-09-03,KT_ZH,1935,89,1846,4.6%,512,1423,26.5%,634,1301,32.8%,1830,105,94.6%,39.6%
2023-09-03,KT_VD,351,0,351,0%,176,175,50.1%,351,0,100.0%,0,351,0%,75.1%
2023-09-03,KT_FR,704,0,704,0%,188,516,26.7%,0,704,0%,0,704,0%,26.7%
2023-09-03,FL_LI,93,60,33,64.5%,85,8,91.4%,0,93,0%,92,1,98.9%,84.9%
2023-09-03,Geodienste,656,26,630,4.0%,557,99,84.9%,0,656,0%,530,126,80.8%,56.6%
2023-09-03,Bund,1341,717,624,53.5%,1338,3,99.8%,602,739,44.9%,1337,4,99.7%,74.5%
