DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2024-06-23,KT_AG,896,896,0,100.0%,896,0,100.0%,0,896,0%,0,896,0%,100.0%
2024-06-23,KT_BL,1367,0,1367,0%,195,1172,14.3%,7,1360,0.5%,0,1367,0%,7.4%
2024-06-23,KT_BS,2152,0,2152,0%,10,2142,0.5%,1003,1149,46.6%,1752,400,81.4%,42.8%
2024-06-23,KT_BE,1365,0,1365,0%,1269,96,93.0%,1264,101,92.6%,75,1290,5.5%,63.7%
2024-06-23,KT_GL,446,0,446,0%,0,446,0%,186,260,41.7%,0,446,0%,41.7%
2024-06-23,KT_GR,1954,1,1953,0.1%,317,1637,16.2%,0,1954,0%,1507,447,77.1%,31.1%
2024-06-23,KT_JU,1162,0,1162,0%,151,1011,13.0%,37,1125,3.2%,974,188,83.8%,33.3%
2024-06-23,KT_SG,656,0,656,0%,452,204,68.9%,130,526,19.8%,13,643,2.0%,30.2%
2024-06-23,KT_SH,197,175,22,88.8%,171,26,86.8%,0,197,0%,178,19,90.4%,88.7%
2024-06-23,KT_SO,701,0,701,0%,0,701,0%,201,500,28.7%,0,701,0%,28.7%
2024-06-23,KT_SZ,1928,0,1928,0%,1847,81,95.8%,10,1918,0.5%,1882,46,97.6%,64.6%
2024-06-23,KT_TG,1059,96,963,9.1%,180,879,17.0%,317,742,29.9%,879,180,83.0%,34.7%
2024-06-23,KT_TI,1401,0,1401,0%,1395,6,99.6%,6,1395,0.4%,6,1395,0.4%,33.5%
2024-06-23,KT_UR,814,351,463,43.1%,300,514,36.9%,356,458,43.7%,0,814,0%,41.2%
2024-06-23,KT_ZH,1956,86,1870,4.4%,524,1432,26.8%,643,1313,32.9%,1846,110,94.4%,39.6%
2024-06-23,KT_VD,357,0,357,0%,173,184,48.5%,357,0,100.0%,0,357,0%,74.2%
2024-06-23,KT_FR,723,0,723,0%,247,476,34.2%,0,723,0%,0,723,0%,34.2%
2024-06-23,FL_LI,115,83,32,72.2%,107,8,93.0%,0,115,0%,114,1,99.1%,88.1%
2024-06-23,Geodienste,658,26,632,4.0%,555,103,84.3%,0,658,0%,528,130,80.2%,56.2%
2024-06-23,Bund,1461,792,669,54.2%,1461,0,100.0%,639,822,43.7%,1455,6,99.6%,74.4%
