DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2024-03-24,KT_AI,214,17,197,7.9%,214,0,100.0%,0,214,0%,214,0,100.0%,69.3%
2024-03-24,KT_AR,239,26,213,10.9%,239,0,100.0%,0,239,0%,239,0,100.0%,70.3%
2024-03-24,KT_AG,898,898,0,100.0%,898,0,100.0%,0,898,0%,0,898,0%,100.0%
2024-03-24,KT_BL,1341,0,1341,0%,189,1152,14.1%,7,1334,0.5%,0,1341,0%,7.3%
2024-03-24,KT_BS,995,0,995,0%,8,987,0.8%,995,0,100.0%,869,126,87.3%,62.7%
2024-03-24,KT_BE,1021,0,1021,0%,995,26,97.5%,921,100,90.2%,74,947,7.2%,65.0%
2024-03-24,KT_GE,143,0,143,0%,143,0,100.0%,0,143,0%,0,143,0%,100.0%
2024-03-24,KT_GL,446,0,446,0%,0,446,0%,186,260,41.7%,0,446,0%,41.7%
2024-03-24,KT_GR,1931,1,1930,0.1%,312,1619,16.2%,0,1931,0%,1489,442,77.1%,31.1%
2024-03-24,KT_JU,1170,0,1170,0%,158,1012,13.5%,37,1133,3.2%,975,195,83.3%,33.3%
2024-03-24,KT_SG,655,0,655,0%,453,202,69.2%,132,523,20.2%,13,642,2.0%,30.4%
2024-03-24,KT_SH,189,175,14,92.6%,176,13,93.1%,0,189,0%,171,18,90.5%,92.1%
2024-03-24,KT_SO,664,0,664,0%,0,664,0%,184,480,27.7%,0,664,0%,27.7%
2024-03-24,KT_SZ,1904,0,1904,0%,1823,81,95.7%,10,1894,0.5%,1858,46,97.6%,64.6%
2024-03-24,KT_TG,1061,96,965,9.0%,180,881,17.0%,317,744,29.9%,881,180,83.0%,34.7%
2024-03-24,KT_TI,1367,0,1367,0%,1358,9,99.3%,9,1358,0.7%,9,1358,0.7%,33.6%
2024-03-24,KT_UR,534,221,313,41.4%,371,163,69.5%,223,311,41.8%,0,534,0%,50.9%
2024-03-24,KT_ZG,813,55,758,6.8%,87,726,10.7%,0,813,0%,22,791,2.7%,6.7%
2024-03-24,KT_ZH,1963,86,1877,4.4%,515,1448,26.2%,642,1321,32.7%,1861,102,94.8%,39.5%
2024-03-24,KT_VD,352,0,352,0%,173,179,49.1%,352,0,100.0%,0,352,0%,74.6%
2024-03-24,KT_FR,694,0,694,0%,220,474,31.7%,0,694,0%,0,694,0%,31.7%
2024-03-24,FL_LI,113,80,33,70.8%,105,8,92.9%,0,113,0%,112,1,99.1%,87.6%
2024-03-24,Geodienste,656,26,630,4.0%,557,99,84.9%,0,656,0%,530,126,80.8%,56.6%
2024-03-24,Bund,1403,764,639,54.5%,1403,0,100.0%,614,789,43.8%,1397,6,99.6%,74.4%
