DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2025-09-21,KT_AI,230,20,210,8.7%,230,0,100.0%,0,230,0%,230,0,100.0%,69.6%
2025-09-21,KT_AR,258,30,228,11.6%,258,0,100.0%,0,258,0%,258,0,100.0%,70.5%
2025-09-21,KT_AG,936,936,0,100.0%,936,0,100.0%,0,936,0%,0,936,0%,100.0%
2025-09-21,KT_BL,1408,0,1408,0%,205,1203,14.6%,7,1401,0.5%,0,1408,0%,7.5%
2025-09-21,KT_BS,2463,0,2463,0%,9,2454,0.4%,1090,1373,44.3%,1927,536,78.2%,41.0%
2025-09-21,KT_BE,1432,0,1432,0%,1392,40,97.2%,1315,117,91.8%,87,1345,6.1%,65.0%
2025-09-21,KT_GL,439,0,439,0%,0,439,0%,182,257,41.5%,0,439,0%,41.5%
2025-09-21,KT_GR,1891,4,1887,0.2%,285,1606,15.1%,0,1891,0%,1474,417,77.9%,31.1%
2025-09-21,KT_JU,1290,0,1290,0%,155,1135,12.0%,42,1248,3.3%,1093,197,84.7%,33.3%
2025-09-21,KT_SG,645,0,645,0%,410,235,63.6%,137,508,21.2%,13,632,2.0%,28.9%
2025-09-21,KT_SH,213,188,25,88.3%,185,28,86.9%,0,213,0%,194,19,91.1%,88.7%
2025-09-21,KT_SO,732,0,732,0%,0,732,0%,0,732,0%,0,732,0%,0%
2025-09-21,KT_SZ,2104,0,2104,0%,2026,78,96.3%,983,1121,46.7%,2059,45,97.9%,80.3%
2025-09-21,KT_TG,1032,93,939,9.0%,176,856,17.1%,312,720,30.2%,856,176,82.9%,34.8%
2025-09-21,KT_TI,1356,0,1356,0%,1350,6,99.6%,6,1350,0.4%,6,1350,0.4%,33.5%
2025-09-21,KT_UR,834,362,472,43.4%,306,528,36.7%,363,471,43.5%,0,834,0%,41.2%
2025-09-21,KT_ZH,1940,84,1856,4.3%,564,1376,29.1%,679,1261,35.0%,1830,110,94.3%,40.7%
2025-09-21,KT_VD,396,0,396,0%,188,208,47.5%,396,0,100.0%,0,396,0%,73.7%
2025-09-21,KT_FR,686,0,686,0%,248,438,36.2%,0,686,0%,0,686,0%,36.2%
2025-09-21,FL_LI,148,108,40,73.0%,145,3,98.0%,0,148,0%,146,2,98.6%,89.9%
2025-09-21,Geodienste,667,25,642,3.7%,557,110,83.5%,0,667,0%,532,135,79.8%,55.7%
2025-09-21,Bund,1531,827,704,54.0%,1531,0,100.0%,671,860,43.8%,1525,6,99.6%,74.4%
