DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2026-06-14,KT_AI,233,23,210,9.9%,233,0,100.0%,0,233,0%,233,0,100.0%,70.0%
2026-06-14,KT_AR,270,39,231,14.4%,270,0,100.0%,0,270,0%,270,0,100.0%,71.5%
2026-06-14,KT_AG,951,951,0,100.0%,951,0,100.0%,0,951,0%,0,951,0%,100.0%
2026-06-14,KT_BL,1459,0,1459,0%,213,1246,14.6%,7,1452,0.5%,0,1459,0%,7.5%
2026-06-14,KT_BS,2222,240,1982,10.8%,252,1970,11.3%,810,1412,36.5%,637,1585,28.7%,21.8%
2026-06-14,KT_BE,1462,0,1462,0%,1420,42,97.1%,1339,123,91.6%,91,1371,6.2%,65.0%
2026-06-14,KT_GL,462,0,462,0%,0,462,0%,194,268,42.0%,0,462,0%,42.0%
2026-06-14,KT_GR,2031,5,2026,0.2%,314,1717,15.5%,0,2031,0%,1584,447,78.0%,31.2%
2026-06-14,KT_JU,1645,0,1645,0%,185,1460,11.2%,41,1604,2.5%,1419,226,86.3%,33.3%
2026-06-14,KT_SG,636,0,636,0%,405,231,63.7%,132,504,20.8%,13,623,2.0%,28.8%
2026-06-14,KT_SH,235,210,25,89.4%,199,36,84.7%,0,235,0%,214,21,91.1%,88.4%
2026-06-14,KT_SO,777,0,777,0%,0,777,0%,0,777,0%,0,777,0%,0%
2026-06-14,KT_SZ,2267,0,2267,0%,2183,84,96.3%,1062,1205,46.8%,2216,51,97.8%,80.3%
2026-06-14,KT_TG,1027,92,935,9.0%,175,852,17.0%,310,717,30.2%,852,175,83.0%,34.8%
2026-06-14,KT_TI,1227,0,1227,0%,1221,6,99.5%,6,1221,0.5%,6,1221,0.5%,33.5%
2026-06-14,KT_UR,994,440,554,44.3%,355,639,35.7%,431,563,43.4%,0,994,0%,41.1%
2026-06-14,KT_ZH,1822,80,1742,4.4%,584,1238,32.1%,714,1108,39.2%,1718,104,94.3%,42.5%
2026-06-14,KT_VD,417,0,417,0%,200,217,48.0%,417,0,100.0%,0,417,0%,74.0%
2026-06-14,KT_FR,13,0,13,0%,13,0,100.0%,0,13,0%,0,13,0%,100.0%
2026-06-14,FL_LI,154,111,43,72.1%,149,5,96.8%,0,154,0%,152,2,98.7%,89.2%
2026-06-14,Geodienste,672,25,647,3.7%,561,111,83.5%,0,672,0%,537,135,79.9%,55.7%
2026-06-14,Bund,1557,845,712,54.3%,1557,0,100.0%,676,881,43.4%,1548,9,99.4%,74.3%
