DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2023-07-30,KT_AI,203,16,187,7.9%,203,0,100.0%,0,203,0%,203,0,100.0%,69.3%
2023-07-30,KT_AR,224,25,199,11.2%,224,0,100.0%,0,224,0%,224,0,100.0%,70.4%
2023-07-30,KT_AG,885,885,0,100.0%,885,0,100.0%,0,885,0%,0,885,0%,100.0%
2023-07-30,KT_BL,1279,0,1279,0%,182,1097,14.2%,0,1279,0%,0,1279,0%,14.2%
2023-07-30,KT_BS,1364,0,1364,0%,3,1361,0.2%,60,1304,4.4%,980,384,71.8%,25.5%
2023-07-30,KT_BE,993,0,993,0%,970,23,97.7%,906,87,91.2%,64,929,6.4%,65.1%
2023-07-30,KT_GL,442,0,442,0%,0,442,0%,184,258,41.6%,0,442,0%,41.6%
2023-07-30,KT_GR,1992,17,1975,0.9%,319,1673,16.0%,0,1992,0%,1543,449,77.5%,31.4%
2023-07-30,KT_JU,1111,0,1111,0%,147,964,13.2%,34,1077,3.1%,930,181,83.7%,33.3%
2023-07-30,KT_SG,646,0,646,0%,445,201,68.9%,131,515,20.3%,13,633,2.0%,30.4%
2023-07-30,KT_SH,188,175,13,93.1%,175,13,93.1%,0,188,0%,171,17,91.0%,92.4%
2023-07-30,KT_SO,632,1,631,0.2%,0,632,0%,177,455,28.0%,0,632,0%,14.1%
2023-07-30,KT_SZ,1409,0,1409,0%,1274,135,90.4%,10,1399,0.7%,1297,112,92.1%,61.1%
2023-07-30,KT_TG,1153,96,1057,8.3%,170,983,14.7%,360,793,31.2%,983,170,85.3%,34.9%
2023-07-30,KT_TI,1150,0,1150,0%,1143,7,99.4%,6,1144,0.5%,6,1144,0.5%,33.5%
2023-07-30,KT_UR,468,189,279,40.4%,314,154,67.1%,194,274,41.5%,0,468,0%,49.6%
2023-07-30,KT_ZG,943,56,887,5.9%,89,854,9.4%,0,943,0%,23,920,2.4%,5.9%
2023-07-30,KT_ZH,1935,89,1846,4.6%,512,1423,26.5%,634,1301,32.8%,1830,105,94.6%,39.6%
2023-07-30,KT_VD,353,0,353,0%,178,175,50.4%,353,0,100.0%,0,353,0%,75.2%
2023-07-30,KT_FR,707,0,707,0%,190,517,26.9%,0,707,0%,0,707,0%,26.9%
2023-07-30,FL_LI,90,58,32,64.4%,82,8,91.1%,0,90,0%,89,1,98.9%,84.8%
2023-07-30,Geodienste,652,26,626,4.0%,553,99,84.8%,0,652,0%,526,126,80.7%,56.5%
2023-07-30,Bund,1339,717,622,53.5%,1336,3,99.8%,602,737,45.0%,1335,4,99.7%,74.5%
